"filename", "language", "Ini", "Java", "CSV", "comment", "blank", "total"
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_GateNode_output.csv", "CSV", 0, 0, 20, 0, 1, 21
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_GateNode_relay_output.csv", "CSV", 0, 0, 10, 0, 1, 11
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_GateNode_scanner_output.csv", "CSV", 0, 0, 10, 0, 1, 11
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_SpeakerNode_controller_output.csv", "CSV", 0, 0, 2, 0, 1, 3
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_SpeakerNode_output.csv", "CSV", 0, 0, 2, 0, 1, 3
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_SpeakerNode_speaker_output.csv", "CSV", 0, 0, 10, 0, 1, 11
"g:\My Drive\Smart PPE Project\Simulation\logs\Zone2_output.csv", "CSV", 0, 0, 2, 0, 1, 3
"g:\My Drive\Smart PPE Project\Simulation\logs\desktop.ini", "Ini", 7, 0, 0, 0, 0, 7
"g:\My Drive\Smart PPE Project\Simulation\uController.java", "Java", 0, 154, 0, 0, 39, 193
"Total", "-", 21, 1175, 455, 6, 408, 2065
