Timestamp,Object Name,Connected Device 0,Switch 0 Status,Connected Device 1,Switch 1 Status,Connected Device 2,Switch 2 Status
2024-11-05T14:40:35.485161600,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:35.605099200,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:35.715478700,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:35.835793,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:35.950509200,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:36.060250700,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.169977,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.278621300,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.386328,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.498341100,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.640524100,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.743366100,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.851956400,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:36.960326,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:37.069028500,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.180810500,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.293908800,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.414373400,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.526844500,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.682010200,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.788244400,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:37.896241100,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:38.006901100,Actuation_Node,Bombaster1,true,Bombaster2,true,Bombaster3,true
2024-11-05T14:40:38.115686500,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:38.224030200,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:38.334688800,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:38.438366500,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:38.548751200,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:38.659970500,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
2024-11-05T14:40:38.766396,Actuation_Node,Bombaster1,false,Bombaster2,false,Bombaster3,false
