Timestamp,Object Name,Video
3.302,Zone2_MasterNode_camera,Uninitialized
3.334,Zone2_MasterNode_camera,Uninitialized
3.366,Zone2_MasterNode_camera,Uninitialized
3.398,Zone2_MasterNode_camera,Uninitialized
3.429,Zone2_MasterNode_camera,Uninitialized
3.460,Zone2_MasterNode_camera,Uninitialized
3.492,Zone2_MasterNode_camera,Uninitialized
3.513,Zone2_MasterNode_camera,Uninitialized
3.533,Zone2_MasterNode_camera,Uninitialized
3.554,Zone2_MasterNode_camera,Uninitialized
3.586,Zone2_MasterNode_camera,Uninitialized
3.607,Zone2_MasterNode_camera,Uninitialized
3.628,Zone2_MasterNode_camera,Uninitialized
3.649,Zone2_MasterNode_camera,Uninitialized
3.679,Zone2_MasterNode_camera,Uninitialized
3.711,Zone2_MasterNode_camera,Uninitialized
3.731,Zone2_MasterNode_camera,Uninitialized
3.752,Zone2_MasterNode_camera,Uninitialized
3.774,Zone2_MasterNode_camera,Uninitialized
3.806,Zone2_MasterNode_camera,Uninitialized
3.838,Zone2_MasterNode_camera,Uninitialized
3.870,Zone2_MasterNode_camera,Uninitialized
3.900,Zone2_MasterNode_camera,Uninitialized
3.931,Zone2_MasterNode_camera,Uninitialized
3.962,Zone2_MasterNode_camera,Uninitialized
3.983,Zone2_MasterNode_camera,Uninitialized
4.003,Zone2_MasterNode_camera,Uninitialized
4.024,Zone2_MasterNode_camera,Uninitialized
4.055,Zone2_MasterNode_camera,Uninitialized
4.076,Zone2_MasterNode_camera,Uninitialized
4.096,Zone2_MasterNode_camera,Uninitialized
4.119,Zone2_MasterNode_camera,Uninitialized
4.142,Zone2_MasterNode_camera,Uninitialized
4.165,Zone2_MasterNode_camera,Uninitialized
4.196,Zone2_MasterNode_camera,Uninitialized
4.228,Zone2_MasterNode_camera,Uninitialized
4.258,Zone2_MasterNode_camera,Uninitialized
4.279,Zone2_MasterNode_camera,Uninitialized
4.300,Zone2_MasterNode_camera,Uninitialized
4.321,Zone2_MasterNode_camera,Uninitialized
4.341,Zone2_MasterNode_camera,Uninitialized
4.366,Zone2_MasterNode_camera,Uninitialized
4.397,Zone2_MasterNode_camera,Uninitialized
4.429,Zone2_MasterNode_camera,Uninitialized
4.461,Zone2_MasterNode_camera,Uninitialized
4.491,Zone2_MasterNode_camera,Uninitialized
4.511,Zone2_MasterNode_camera,Uninitialized
4.532,Zone2_MasterNode_camera,Uninitialized
4.552,Zone2_MasterNode_camera,Uninitialized
4.572,Zone2_MasterNode_camera,Uninitialized
4.593,Zone2_MasterNode_camera,Uninitialized
4.613,Zone2_MasterNode_camera,Uninitialized
4.633,Zone2_MasterNode_camera,Uninitialized
4.654,Zone2_MasterNode_camera,Uninitialized
4.674,Zone2_MasterNode_camera,Uninitialized
4.695,Zone2_MasterNode_camera,Uninitialized
4.715,Zone2_MasterNode_camera,Uninitialized
4.736,Zone2_MasterNode_camera,Uninitialized
4.772,Zone2_MasterNode_camera,Uninitialized
4.792,Zone2_MasterNode_camera,Uninitialized
4.813,Zone2_MasterNode_camera,Uninitialized
4.833,Zone2_MasterNode_camera,Uninitialized
4.854,Zone2_MasterNode_camera,Uninitialized
4.875,Zone2_MasterNode_camera,Uninitialized
4.910,Zone2_MasterNode_camera,Uninitialized
4.942,Zone2_MasterNode_camera,Uninitialized
4.963,Zone2_MasterNode_camera,Uninitialized
4.989,Zone2_MasterNode_camera,Uninitialized
5.021,Zone2_MasterNode_camera,Uninitialized
5.053,Zone2_MasterNode_camera,Uninitialized
5.084,Zone2_MasterNode_camera,Uninitialized
5.114,Zone2_MasterNode_camera,Uninitialized
5.145,Zone2_MasterNode_camera,Uninitialized
5.175,Zone2_MasterNode_camera,Uninitialized
5.195,Zone2_MasterNode_camera,Uninitialized
5.221,Zone2_MasterNode_camera,Uninitialized
5.242,Zone2_MasterNode_camera,Uninitialized
5.262,Zone2_MasterNode_camera,Uninitialized
5.283,Zone2_MasterNode_camera,Uninitialized
5.303,Zone2_MasterNode_camera,Uninitialized
5.323,Zone2_MasterNode_camera,Uninitialized
5.344,Zone2_MasterNode_camera,Uninitialized
5.384,Zone2_MasterNode_camera,Uninitialized
5.404,Zone2_MasterNode_camera,Uninitialized
5.425,Zone2_MasterNode_camera,Uninitialized
5.454,Zone2_MasterNode_camera,Uninitialized
5.475,Zone2_MasterNode_camera,Uninitialized
5.496,Zone2_MasterNode_camera,Uninitialized
5.517,Zone2_MasterNode_camera,Uninitialized
5.549,Zone2_MasterNode_camera,Uninitialized
5.570,Zone2_MasterNode_camera,Uninitialized
5.594,Zone2_MasterNode_camera,Uninitialized
5.615,Zone2_MasterNode_camera,Uninitialized
5.643,Zone2_MasterNode_camera,Uninitialized
5.664,Zone2_MasterNode_camera,Uninitialized
5.685,Zone2_MasterNode_camera,Uninitialized
5.705,Zone2_MasterNode_camera,Uninitialized
5.736,Zone2_MasterNode_camera,Uninitialized
5.758,Zone2_MasterNode_camera,Uninitialized
5.781,Zone2_MasterNode_camera,Uninitialized
5.813,Zone2_MasterNode_camera,Uninitialized
5.846,Zone2_MasterNode_camera,Uninitialized
5.875,Zone2_MasterNode_camera,Uninitialized
5.908,Zone2_MasterNode_camera,Uninitialized
5.938,Zone2_MasterNode_camera,Uninitialized
5.969,Zone2_MasterNode_camera,Uninitialized
6.000,Zone2_MasterNode_camera,Uninitialized
